backend,op,interp,src_w,src_h,dst_w,dst_h,rot,stress,iters,min_us,mean_us,stddev_us,p50_us,p95_us,p99_us,max_us
opencv_neon,rotate_1c,linear,1920,1080,1080,1920,270,2,200,1458,1478.12,22.31,1463,1513,1522,1567
opencv_neon,rotate_1c,linear,1920,1080,1080,1920,270,4,200,828,844.42,14.52,839,873,878,918
halide,nv21_to_rgb,linear,1280,720,1280,720,90,0,200,262,425.77,212.99,361,726,1545,1931
halide,nv21_to_rgb,linear,1280,720,1280,720,90,2,200,305,496.83,149.90,468,763,944,1153
halide,nv21_to_rgb,linear,1280,720,1280,720,90,4,200,395,501.33,63.65,495,621,733,868
halide,nv21_to_rgb,linear,1920,1080,1920,1080,90,0,200,495,566.66,55.57,561,679,726,852
halide,nv21_to_rgb,linear,1920,1080,1920,1080,90,2,200,650,812.27,140.43,786,1089,1292,1420
halide,nv21_to_rgb,linear,1920,1080,1920,1080,90,4,200,888,1026.84,83.47,998,1177,1226,1497
halide,nv21_to_rgb,linear,3840,2160,3840,2160,90,0,200,1909,2353.32,229.13,2323,2753,2889,3401
halide,nv21_to_rgb,linear,3840,2160,3840,2160,90,2,200,2575,2850.57,186.63,2776,3223,3363,3451
halide,nv21_to_rgb,linear,3840,2160,3840,2160,90,4,200,3341,3642.53,112.95,3615,3868,4155,4215
opencv_neon,nv21_to_rgb,linear,1280,720,1280,720,90,0,200,968,990.08,92.09,972,1033,1056,2247
opencv_neon,nv21_to_rgb,linear,1280,720,1280,720,90,2,200,968,977.65,13.96,970,1005,1013,1020
opencv_neon,nv21_to_rgb,linear,1280,720,1280,720,90,4,200,969,981.09,14.94,973,1009,1012,1029
opencv_neon,nv21_to_rgb,linear,1920,1080,1920,1080,90,0,200,956,2243.68,350.94,2221,2610,3498,4525
opencv_neon,nv21_to_rgb,linear,1920,1080,1920,1080,90,2,200,2179,2210.29,45.16,2212,2279,2444,2465
opencv_neon,nv21_to_rgb,linear,1920,1080,1920,1080,90,4,200,2179,2201.69,24.95,2207,2220,2261,2440
opencv_neon,nv21_to_rgb,linear,3840,2160,3840,2160,90,0,200,8819,9343.27,1234.64,8898,12648,13844,16574
opencv_neon,nv21_to_rgb,linear,3840,2160,3840,2160,90,2,200,8807,8833.42,17.59,8828,8866,8883,8891
opencv_neon,nv21_to_rgb,linear,3840,2160,3840,2160,90,4,200,8808,8850.19,51.03,8833,8911,9091,9248
halide,nv21_resize_rgb,nearest,1920,1080,640,480,90,0,200,217,342.95,61.63,334,443,535,713
halide,nv21_resize_rgb,nearest,1920,1080,640,480,90,2,200,252,384.37,84.28,374,497,664,1072
halide,nv21_resize_rgb,nearest,1920,1080,640,480,90,4,200,291,370.45,68.53,349,511,551,591
halide,nv21_resize_rgb,nearest,1920,1080,1280,720,90,0,200,529,741.12,146.24,702,1013,1094,1639
halide,nv21_resize_rgb,nearest,1920,1080,1280,720,90,2,200,579,701.05,82.09,683,838,958,1156
halide,nv21_resize_rgb,nearest,1920,1080,1280,720,90,4,200,767,868.14,85.03,846,1033,1052,1176
halide,nv21_resize_rgb,nearest,1280,720,640,480,90,0,200,253,353.35,69.54,340,475,623,803
halide,nv21_resize_rgb,nearest,1280,720,640,480,90,2,200,254,343.21,52.73,326,441,503,624
halide,nv21_resize_rgb,nearest,1280,720,640,480,90,4,200,289,367.50,125.38,334,515,1086,1249
halide,nv21_resize_rgb,nearest,640,480,1280,720,90,0,200,527,634.29,90.70,611,782,1030,1325
halide,nv21_resize_rgb,nearest,640,480,1280,720,90,2,200,585,680.53,56.96,655,812,882,950
halide,nv21_resize_rgb,nearest,640,480,1280,720,90,4,200,773,863.37,87.25,831,1019,1178,1378
